"Toll Brothers - Space Statistics"
"User","apiselli@tollbrothers.com"
"Last refreshed","2025-03-11"
"Timeframe","Lifetime"

"Space name","Space Details URL","Parent folder name","Internal ID","Presented By","Contact name","Address","Public status","Deleted status","Created Date","Impressions","Visits","Unique Visitors"
"The Dante Italianate","https://my.matterport.com/models/RkSruG8Gh7g","Archived","Dante 32T, Lakeshore - Townhomes 3545","Toll Brothers","","8847 Lakeshore Point Drive, Winter Garden, FL, 34787, US","Not Public","Not Deleted","2016-01-21","22587","13802","7705"
"The Hudsen Tuscan","https://my.matterport.com/models/rmK4DH7ZTvD","Model Homes","Hudsen 4CZ, Avila at Porter Ranch - Vistas Collection 3682","Toll Brothers","","12015 Mirabel Way, Northridge, CA, 91326, US","Public","Not Deleted","2018-09-07","19953","15609","8128"
"The Langdon Classic","https://my.matterport.com/models/RoeqW7iciXj","Model Homes","Langdon 5CV, Venetia Grove - The Woodlands 4422","Toll Brothers","","11 Venetia Grove Drive, Tomball, TX, 77375, US","Public","Not Deleted","2019-06-27","216893","112691","68902"
"The Clubhouse at Hasentree","https://my.matterport.com/models/rP5v13YFY9D","Amenities","Hasentree 3017","Toll Brothers","","7305 Village Club Drive, Wake Forest, NC, 27587, US","Public","Not Deleted","2018-04-11","18","5","4"
"The Stuart Farmhouse","https://my.matterport.com/models/rpKnSKYupEY","Model Homes","Stuart 2DF, Canterbury Park 3277","Toll Brothers","","1452 242nd Avenue NE, Sammamish, WA, 98074, US","Not Public","Not Deleted","2017-03-01","8401","5319","3159"
"The Laurelwood Italian Villa","https://my.matterport.com/models/rPq4WoArsaN","Model Homes","Laurelwood (CA) 2J1, Ashbury at Alamo Creek 3633","Toll Brothers","","418 Vendeen Court, Danville, CA, 94506, US","Not Public","Not Deleted","2017-02-03","22010","16077","8451"
"1425 Hudson - G Line Residences","https://my.matterport.com/models/rrfhVQqbtbV","Archived","1425 Hudson Street at Hudson Tea 2179","Toll Brothers City Living","","1425 Hudson Street, Hoboken, NJ, 07030, US","Not Public","Not Deleted","2020-03-18","17682","11797","8670"
"The Rockledge Farmhouse","https://my.matterport.com/models/rt9Yokvtarx","Model Homes","Rockledge 5JR, TB at Turf Valley - Single-Family 4612","Toll Brothers","","3103 Cavalier Wood Rd, Ellicott City, MD, 21042, US","Public","Not Deleted","2019-12-01","27966","15308","8234"
"The Ancona Spanish","https://my.matterport.com/models/rUfPqczdKc8","Model Homes","Ancona 3QD, Mirabelle at Plum Canyon 3673","Toll Brothers","","19114 Lauren Lane, Santa Clarita, CA, 91350, US","Public","Not Deleted","2018-01-16","61638","39257","21220"
"Residences 3-7G","https://my.matterport.com/models/rw4ZGavYMT9","91 Leonard","91 Leonard 4323","Toll Brothers City Living","","91 Leonard Street, New York, NY, 10013, US","Public","Not Deleted","2019-09-19","10852","3903","2645"
"The Orion Farmhouse","https://my.matterport.com/models/rWiCDcmGeLL","QMI - Unstaged Homes","Orion 72R, Vista Point at Southshore 4077","Toll Brothers","","27670 East Lakeview Drive, Aurora, CO, 80016, US","Public","Not Deleted","2020-03-30","119","115","99"
"The Turner Transitional","https://my.matterport.com/models/RzTDX1BxqPV","QMI - Unstaged Homes","Turner 5CY, Sienna - Select Collection 4639","Toll Brothers","","10518 Largo Oaks Drive, Missouri City, TX, 77459, US","Public","Not Deleted","2020-02-11","22042","11327","7546"
"The Dallon Manor","https://my.matterport.com/models/S6XaGHKA51a","Model Homes","Dallon 4XT, Monroe Place 4332","Toll Brothers","","14 Clover Lane, Monroe, NJ, 08831, US","Public","Not Deleted","2019-09-18","20319","9733","5509"
"The Montana Heritage","https://my.matterport.com/models/S7QUpF4RpHB","Archived","Montana 1TB, The Preserve at Kechter Farm 3451","Toll Brothers","","6109 Eagle Roost Drive, Fort Collins, CO, 80528, US","Not Public","Not Deleted","2015-08-20","70573","43768","24850"
"The Anastasia Mediterranean","https://my.matterport.com/models/S8ypNMTte9b","Archived","Anastasia 26E, Coastal Oaks at Nocatee - Heritage 3195","Toll Brothers","","159 Portsmouth Bay Avenue, Ponte Vedra Beach, FL, 32081, US","Not Public","Not Deleted","2015-12-15","89646","50665","29375"
"The Durham Prairie","https://my.matterport.com/models/S9kuRdH6VGX","Archived","Durham 5DC, Latigo at Rancharrah 4401","Toll Brothers","","306 Marewood Court, Reno, NV, 89511, US","Not Public","Not Deleted","2020-03-27","5","2","2"
"The Tyndall Farmhouse","https://my.matterport.com/models/S9LRfjMBHrA","QMI - Unstaged Homes","Tyndall 58N, The Crossings at Meridian 4486","Toll Brothers","","","Public","Not Deleted","2020-04-03","456","233","164"
"The Blair Farmhouse","https://my.matterport.com/models/S9XSXz3u76N","Model Homes","Blair 1YE, Regency at Holmdel 3505","Toll Brothers","","6 Langton Drive, Holmdel, NJ, 07733, US","Public","Not Deleted","2017-06-27","57634","33376","19362"
"The Peyton Mission","https://my.matterport.com/models/Sa5APS8Ud3p","Model Homes","Peyton 74H, Reserve at Katy - The Estates 3172","Toll Brothers","","2107 Manor Creek Lane, Katy, TX, 77494, US","Not Public","Not Deleted","2018-01-23","14846","10605","5654"
"The Henley South Shore","https://my.matterport.com/models/sAmLNyMpXkL","Model Homes","Henley 852, Reserve at Franklin Lakes - Signature Col. 3318","Toll Brothers","","59 Northwood Drive, Franklin Lakes, NJ, 07417, US","Public","Not Deleted","2018-11-27","215571","137323","69105"
"The Camden Elite Mediterranean","https://my.matterport.com/models/SawQMSdnMwA","Model Homes","Camden Elite 49E, Lexington at Gale Ranch 3654","Toll Brothers","","604 Thyme Way, San Ramon, CA, 94582, US","Public","Not Deleted","2019-06-28","18462","10180","5696"
"The Geneva Modern Farmhouse","https://my.matterport.com/models/sayCdcqm2CH","Model Homes","Geneva 4CB, Retreat at McLean & Mehr Farm 4143","Toll Brothers","","7194 Greyson Woods Lane, McLean, VA, 22101, US","Public","Not Deleted","2019-05-01","29527","22168","10760"
"The Wayland Farmhouse","https://my.matterport.com/models/sBEtK8nsva8","Model Homes","Wayland 5K9, Sterling Grove - Providence Collection 3997","Toll Brothers","","11884 North Hershey Street, Surprise, AZ, 85388, US","Public","Not Deleted","2020-01-10","26685","14596","10045"
"The Sidney Shingle","https://my.matterport.com/models/scteEJcoLnu","Archived","Sidney 0BY, The Overlook at Brookshire - The Signature 3620","Toll Brothers","","4628 238th Drive Southeast, Issaquah, WA, 98029, US","Not Public","Not Deleted","2016-11-04","14112","9347","5715"
"The Deerfield Manor","https://my.matterport.com/models/sfucurRaSam","Archived","Deerfield 0AA, Regency at Creekside - The Potomac Col. 3228","Toll Brothers","","13800 Long Ridge Drive, Haymarket, VA, 20169, US","Not Public","Not Deleted","2016-10-27","18190","11644","6393"
"The Terrano Country Manor","https://my.matterport.com/models/SFxfFuEsfuR","Model Homes","Terrano 466, Coastal Oaks at Nocatee - Heritage 3195","Toll Brothers","","59 Portsmouth Bay Avenue, Ponte Vedra Beach, FL, 32081, US","Public","Not Deleted","2017-04-21","60291","35778","19346"
"The Berkshire Tuscan","https://my.matterport.com/models/SGCfqeT8wEX","Model Homes","Berkshire (NV) 2KN, Willow Bend at Saddle Ridge 3802","Toll Brothers","","2880 Ethelinda Way, Reno, NV, 89521, US","Not Public","Not Deleted","2017-01-15","7118","4749","2715"
"The Red Oak Tuscan","https://my.matterport.com/models/SgGtC6AVmTh","Model Homes","Red Oak 3EN, Canyons at Porter Ranch - Pointe 3683","Toll Brothers","","20744 West Bur Oak Circle, Northridge, CA, 91326, US","Public","Not Deleted","2018-02-07","65818","47909","29166"
"The Cholla Contemporary Casita","https://my.matterport.com/models/SGWcXq9942f","Archived","Cholla 71C, Saguaro Estates 1868","Toll Brothers","","7101 East Ironwood Drive, Scottsdale, AZ, 85266, US","Not Public","Not Deleted","2016-04-15","20711","9406","5926"
"The Lakehouse at Lakeshore","https://my.matterport.com/models/sh7SA8pdZd4","Amenities","Lakeshore 3544","Toll Brothers","","15597 Panther Lake Drive, Winter Garden, FL 34787, United States","Public","Not Deleted","2018-06-21","61307","36994","25045"
"The Bridleridge Federal","https://my.matterport.com/models/SihuuPbEdx2","Archived","Bridleridge 26R, Regency at Monroe 441","Toll Brothers","","50 Country Club Drive, Monroe Township, NJ, 08831, US","Not Public","Not Deleted","2015-09-17","24377","15814","8883"
"The Yates Farmhouse","https://my.matterport.com/models/sJ3KKwbn3XE","Model Homes","Yates 26H, Hasentree - Carolinas 3019","Toll Brothers","","1036 Linehall Way, Wake Forest, NC, 27587, US","Public","Not Deleted","2017-11-10","64545","41601","20151"
"The Callahan Boca Raton","https://my.matterport.com/models/SLPTFeuXc2X","Model Homes","Callahan 3C7, Royal Palm Polo - Heritage Collection 3911","Toll Brothers","","2706 Northwest 71st Boulevard, Boca Raton, FL, 33496, US","Public","Not Deleted","2017-07-14","110857","70280","37832"
"The Stallworth Craftsman","https://my.matterport.com/models/SMhKevsg32P","Model Homes","Stallworth 1XP, Jordan Pointe 4432","Toll Brothers","","2942 Jordan Pointe Boulevard, New Hill, NC, 27562, US","Public","Not Deleted","2019-05-24","241357","132093","69436"
"The Bryce Italianate","https://my.matterport.com/models/SNPfLX1PHGx","Model Homes","Bryce 49G, Mason Ridge at Bella Vista Ranch 3915","Toll Brothers","","2207 Willow Ridge Road, Reno, NV, 89521, US","Public","Not Deleted","2019-02-20","7354","5671","3235"
"The Stratford","https://my.matterport.com/models/So2w4U3LREm","Archived","Airmont 2D9, Estates at Saddle Ridge 3589","Toll Brothers","","2660 Hanovarian Court, Reno, NV, 89521, US","Not Public","Not Deleted","2019-01-25","13421","7921","4025"
"The Monte Verde Hill Country","https://my.matterport.com/models/spowBPDUQJs","Model Homes","Monte Verde 3DB, Town Lake at Flower Mound 3375","Toll Brothers","","4813 Harper Circle, Flower Mound, TX, 75022, US","Public","Not Deleted","2019-01-19","70785","47341","23869"
"The Merida Chateau","https://my.matterport.com/models/Sq7g5kCd3er","Archived","Merida 0HK, Woodson's Reserve - Estate Collection 3397","Toll Brothers","","3923 Rolling Thicket Drive, Spring, TX, 77386, US","Not Public","Not Deleted","2016-02-01","154489","88420","48039"
"The Point Reyes Italiante","https://my.matterport.com/models/SrtjLiMyBjq","Model Homes","Point Reyes 3E2, The Trails at Baker Ranch 3862","Toll Brothers","","11 Macatera, Lake Forest, CA, 92630, US","Public","Not Deleted","2017-05-09","5861","3844","2110"
"The Binghamton Eastern Shore","https://my.matterport.com/models/SSgoShJDe8z","Model Homes","Binghamton 0R6, Regency at Wappinger - Villas 2819","Toll Brothers","","1 Linwood Drive, Wappingers Falls, NY, 12590, US","Public","Not Deleted","2017-11-18","13087","8476","4694"
"The Stonehill Palm Beach","https://my.matterport.com/models/sUayS6SNHgY","Archived","Stonehill 24H, Toll Brothers at Eagle Creek - Signature 3860","Toll Brothers","","13437 Heswall Run, Orlando, FL, 32832, US","Not Public","Not Deleted","2016-01-29","16537","10128","6047"
"The Merrimack Lexington","https://my.matterport.com/models/sW5z1sivcEm","Archived","Merrimack 25X, Regency at Monroe 441","Toll Brothers","","54 Country Club Drive, Monroe Township, NJ, 08831, US","Not Public","Not Deleted","2015-09-17","25843","16008","9331"
"The Ellsworth II Glenshire","https://my.matterport.com/models/sWuwVn9pgV8","Archived","Ellsworth II 249, Dominion Valley CC - Carolinas 961","Toll Brothers","","5701 Waterloo Bridge Circle, Haymarket, VA, 20169, US","Not Public","Not Deleted","2015-09-29","10427","6132","3612"
"The Franciscan","https://my.matterport.com/models/swWqBUDoVCX","Spin-Off Home Designs","Lucida 4EP, Palomar at Pacific Highlands Ranch 4212","Toll Brothers","","Summit Crest Circle, San Diego, CA, 92130, United States","Public","Not Deleted","2019-05-08","2261","1599","886"
"The Woodstock Wellesley","https://my.matterport.com/models/szFkXtJsv3b","Model Homes","Woodstock 25D, The Pines at Wake Crossing 2202","Toll Brothers","","307 Brincefield Place, Cary, NC, 27519, US","Public","Not Deleted","2017-11-10","135803","84478","45785"
"The Mendocino Spanish Colonial","https://my.matterport.com/models/sZgidHHeyEL","Archived","Mendocino (CA) 36H, Terraces at Baker Ranch 3412","Toll Brothers","","15 Juniper, Lake Forest, CA, 92630, US","Not Public","Not Deleted","2016-08-19","8250","5613","3407"
"The Northeast Florida Design Studio","https://my.matterport.com/models/T5X7rGjEFPh","Design Studios","Northeast Florida Design Studio","Toll Brothers","","12525 Philips Highway Suite 106, Jacksonville, FL, 32256, US","Public","Not Deleted","2019-05-22","51336","14506","10140"
"The Duke Heritage","https://my.matterport.com/models/t9LsVx2ETeq","Model Homes","Duke 718, Reserve at Chester Springs 3123","Toll Brothers","","101 Radek Court, Downingtown, PA, 19335, US","Public","Not Deleted","2017-08-16","9765","6752","3076"
"The Hudson South Shore","https://my.matterport.com/models/Tc3gXxiwR62","Archived","Hudson 2A7, Estates at Bamm Hollow 3467","Toll Brothers","","6 Strathmore Road, Middletown, NJ, 07738, US","Not Public","Not Deleted","2016-05-06","143823","83785","47385"
"The Stella Italiante","https://my.matterport.com/models/td9SU3LQMfK","Model Homes","Stella 3V0, Estrella at Altair 3957","Toll Brothers","","60 Swan, Irvine, CA, 92618, US","Public","Not Deleted","2017-10-27","31193","24865","12859"
"The Clubhouse at White Springs at Providence","https://my.matterport.com/models/Te4roCSnJaA","Amenities","White Springs at Providence 4209","Toll Brothers","","334 Joshua Tree Drive, Collegeville, PA, 19426, US","Public","Not Deleted","2019-06-04","16308","7862","6078"
"The Calistoga Farmhouse","https://my.matterport.com/models/tFBmb5kjxU2","Model Homes","Calistoga 5K3, Sterling Grove - Sonoma Collection 4184","Toll Brothers","","11873 North San Clemente Street, Surprise, AZ, 85388, US","Public","Not Deleted","2020-01-13","40840","25430","15217"
"The Denton Manor","https://my.matterport.com/models/TgjLSZ49eGb","Model Homes","Denton 0GJ, Rivington by Toll Bros. - The Ridge Col. 3110","Toll Brothers","","3 Brentwood Cir, Danbury, CT, 06810, US","Public","Not Deleted","2020-02-10","19964","12236","7052"
"Residence PH1","https://my.matterport.com/models/tixoCJ7Wse6","Archived","91 Leonard 4323","Toll Brothers City Living","","91 Leonard Street, New York, NY, 10013, US","Not Public","Not Deleted","2020-04-02","18866","6241","3815"
"The Valeri Manor","https://my.matterport.com/models/tjp65e6T9s1","Model Homes","Valeri 39A, Reserve at Franklin Lakes - Carriages Col. 3319","Toll Brothers","","27 Pleasant View Lane, Franklin Lakes, NJ, 07417, US","Public","Not Deleted","2018-11-28","61642","36925","20489"
"The Acadia Elite Spanish Colonial","https://my.matterport.com/models/TJvNjB1Knnw","Model Homes","Acadia Elite 3NH, Lexington at Parkside 3922","Toll Brothers","","158 Pinnacle Drive, Lake Forest, CA, 92630, US","Public","Not Deleted","2017-05-02","29767","21269","9807"
"The Cataloni Spanish Contemporary","https://my.matterport.com/models/tjVpBpQx1sy","QMI - Staged Homes","Cataloni 2KW, TB at Blackstone - The Retreat Col. 3968","Toll Brothers","","11723 West Dove Wing Way, Peoria, AZ, 85383, US","Public","Not Deleted","2019-10-08","88888","48350","29202"
"The Avante Ranch Hacienda","https://my.matterport.com/models/Tk7ZXeDESpS","Archived","Avante 2GS, Toll Brothers at Avian Meadows 3559","Toll Brothers","","3857 East Mead Drive, Chandler, AZ, 85249, US","Not Public","Not Deleted","2016-04-19","24811","15410","9456"
"The Clubhouse at Borello Ranch Estates","https://my.matterport.com/models/tm4EHCtdJvt","Amenities","Borello Ranch Estates 3982","Toll Brothers","","18620 Corte, Bautista Morgan Hill, CA, 95037, US","Public","Not Deleted","2020-03-06","83090","45287","33686"
"The McCartney with Basement","https://my.matterport.com/models/ToB1u19gfhe","Archived","McCartney with Basement 2CH, Belvedere at Bellevue 3303","Toll Brothers","","7320 169th Place Southeast, Bellevue, WA, 98006, US","Not Public","Not Deleted","2016-08-17","12552","8771","4980"
"The Hillcrest Andalusian","https://my.matterport.com/models/toHMg9Pu25C","Archived","Hillcrest (NV) 2GU, Willow Bend at Saddle Ridge 3802","Toll Brothers","","2860 Ethelinda Way, Reno, NV, 89521, US","Not Public","Not Deleted","2017-02-14","3710","3104","1569"
"The Avant Contemporary","https://my.matterport.com/models/trK6sapP9aj","Archived","Avant 2EP, Toll Brothers at Escena 3576","Toll Brothers","","4129 Indigo Street, Palm Springs, CA, 92262, US","Not Public","Not Deleted","2015-10-16","31826","18501","12317"
"The Baymont Savannah","https://my.matterport.com/models/tTtuFyV53sQ","Archived","Baymont 2C2, Regency at Emerald Pines 3418","Toll Brothers","","24 Pine Tree Drive, Methuen, MA, 01844, US","Not Public","Not Deleted","2016-06-16","68408","40269","24501"
"The Trillium Shingle","https://my.matterport.com/models/TVRERN7euLN","Model Homes","Trillium 5E6, Toll Brothers at Scouters Mountain 4418","Toll Brothers","","11394 SE Cheerful Way, Happy Valley, OR, 97086, US","Public","Not Deleted","2019-11-09","8426","5312","3050"
"The Timberline Tuscan","https://my.matterport.com/models/TWGZiiLEjHH","Model Homes","Timberline 4DG, Diamond Crest at Bella Vista Ranch 3941","Toll Brothers","","9313 Blue Basin Trail, Reno, NV, 89521, US","Public","Not Deleted","2019-05-10","24410","13033","7565"
"The Massiano Island Colonial","https://my.matterport.com/models/Txjkyuzt9fh","Model Homes","Massiano 25G, Azure at Hacienda Lakes - Estate Col. 3909","Toll Brothers","","8778 Saint Lucia Drive, Naples, FL, 34114, US","Not Public","Not Deleted","2017-06-13","49958","31939","18063"
"The Ascott Farmhouse","https://my.matterport.com/models/txKkKy2LaUj","QMI - Unstaged Homes","Ascott 5D3, Regency at Caram. Ran. - Glen. Col. 4027","Toll Brothers","","2516 Titanium Crest Drive, Reno, NV, 89521, US","Public","Not Deleted","2020-03-31","688","426","239"
"The Yukon Hill Country","https://my.matterport.com/models/tZ1gL6TAesB","QMI - Staged Homes","Yukon 3B2, Walsh 6019","Toll Brothers","","13913 Green Hook Road, Azle, TX, 76008, US","Public","Not Deleted","2020-03-25","56828","23308","15996"
"The Portofino Tuscan","https://my.matterport.com/models/TzZTh3VstEP","Model Homes","Portofino 3XX, Villa Lago at The Promontory 1763","Toll Brothers","","1538 Elmores Way, El Dorado Hills, CA, 95762, US","Not Public","Not Deleted","2017-02-02","23495","15933","9742"
"The Santa Bella Palm Beach","https://my.matterport.com/models/u45MgY6fm5f","Model Homes","Santa Bella 3P3, Lakeshore - Estates Collection 3547","Toll Brothers","","15603 Panther Lake Drive, Winter Garden, FL, 34787, US","Public","Not Deleted","2019-06-19","33441","17965","9723"
"The Dillon Traditional","https://my.matterport.com/models/u4mhiFmYZfT","Model Homes","Dillon 3DT, Toll Bro. at Flatiron Meadows - The Retreat 4015","Toll Brothers","","1291 Fountain Lane, Erie, CO, 80516, US","Public","Not Deleted","2018-09-08","95624","59369","30414"
"The Brandeis Traditional","https://my.matterport.com/models/U7DhiFcGEfH","Model Homes","Brandeis 2GW, White Spring at Providence 3209","Toll Brothers","","334 Joshua Tree Drive, Collegeville, PA, 19426, US","Public","Not Deleted","2017-06-17","37432","23297","13685"
"The Harding Country Manor","https://my.matterport.com/models/UaQqFSgLEvv","Model Homes","Harding 71X, Reserve at Makefield 0626","Toll Brothers","","13 Daulton Street, Newtown, PA, 18940, US","Public","Not Deleted","2017-06-27","219424","132750","67181"
"The Lily Craftsman","https://my.matterport.com/models/UbmwtSGsuiy","Model Homes","Lily 5M8, Oakwood at Nocatee 4517","Toll Brothers","","18 Sugar Magnolia Drive, Nocatee, FL, 32081, US","Public","Not Deleted","2020-03-29","32074","20324","11658"
"The Clubhouse at Meadows at Parkview","https://my.matterport.com/models/UbwsAN8LJav","Amenities","Meadows at Parkview 4300","Toll Brothers","","101 Primrose Court, North Wales, PA, 19454, US","Public","Not Deleted","2019-09-24","12754","6398","4235"
"The Santangelo Bordeaux","https://my.matterport.com/models/ueHVXDtjwmW","Archived","Santangelo 25P, Jupiter Country Club - The Heritage 2942","Toll Brothers","","123 Rosalia Court, Jupiter, FL, 33478, US","Not Public","Not Deleted","2016-02-17","18226","9665","5398"
"The Horizon Prairie","https://my.matterport.com/models/uH42hbWDpF8","Model Homes","Horizon 4D8, Shadow Point 4157","Toll Brothers","","940 Wild Skies Drive, Las Vegas, NV, 89138, US","Public","Not Deleted","2019-05-11","17301","9936","6063"
"The Weston Modern Farmhouse","https://my.matterport.com/models/UHWzGwTp9t3","QMI - Staged Homes","Weston 58E, Whitewing at Whisper Ranch 4181","","","25091 South 198th Place, Queen Creek, AZ, 85142, US","Public","Not Deleted","2020-03-27","2587","1535","925"
"The Ranier Mountain","https://my.matterport.com/models/UiTQKUnk3pn","Model Homes","Ranier (NV) 2JT, Boulders at Somersett 3144","Toll Brothers","","8320 Split Rock Trail, Reno, NV, 89523, US","Not Public","Not Deleted","2017-02-01","6739","4004","2598"
"The Duke Lexington","https://my.matterport.com/models/umfBupMf8yX","Model Homes","Duke 718, Woods of South Barrington - Estate Collection 1740","Toll Brothers","","2 Acadia Drive, South Barrington, IL, 60010, US","Public","Not Deleted","2017-09-08","17182","11873","6514"
"The Marlette Desert Prairie","https://my.matterport.com/models/umWQzFaYjbT","Archived","Marlette (NV) 2KL, Regency at Summerlin - Pinnacle 3818","Toll Brothers","","6688 Regency Ridge Court, Las Vegas, NV, 89148, US","Not Public","Not Deleted","2016-12-21","16611","10935","6433"
"The Landry High Plains","https://my.matterport.com/models/unMfSB6VShD","QMI - Unstaged Homes","Landry 3PZ, The Reserve at Katy - The Trace 4129","Toll Brothers","","27426 Gardinia Ridge Drive, Katy, TX, 77494, US","Public","Not Deleted","2020-03-26","1977","1298","883"
"The Everest Elite Desert Prairie","https://my.matterport.com/models/uNQZyW6A3xa","Model Homes","Everest Elite 4HY, The Cliffs at Somersett 3115","Toll Brothers","","2205 Cold Creek Trail, Reno, NV, 89523, US","Public","Not Deleted","2019-11-09","31326","19157","11726"
"The Burnside Shingle","https://my.matterport.com/models/uPFEGEi64Ni","QMI - Staged Homes","Burnside 5EQ, Toll Brothers at Thompson Woods 4489","Toll Brothers","","12359 NW Hiller Lane, Portland, OR, 97229, US","Public","Not Deleted","2020-04-01","2229","1369","801"
"The Avon","https://my.matterport.com/models/UqCgXh6tFp9","QMI - Staged Homes","Avon C26, North Oaks of Ann Arbor - The Vil. Col. 3893","Toll Brothers","","3204 Brackley Drive, Ann Arbor, MI, 48105, US","Public","Not Deleted","2020-03-24","3703","1753","1223"
"The Bolano Mediterranean","https://my.matterport.com/models/uSbMVJTymJw","Archived","Bolano 44E, Parkland Golf and CC - Monogram Collection 3122","Toll Brothers","","7817 Blue Sage Way, Parkland, FL, 33076, US","Not Public","Not Deleted","2016-02-17","9206","5281","3690"
"The Salish Shingle","https://my.matterport.com/models/USHQmowHbqF","Model Homes","Salish 3YM, Mountain Vista at Cedar Falls 4339","Toll Brothers","","1092 SE 13th Place, North Bend, WA, 98045, US","Public","Not Deleted","2019-11-23","15213","9859","5519"
"The Altura Tuscan","https://my.matterport.com/models/utxE1o23Yum","Model Homes","Altura 3EE, Bella Vista at Orchard Hills 3946","Toll Brothers","","102 Boulder Pass, Irvine, CA, 92602, US","Public","Not Deleted","2017-08-26","31693","23135","12907"
"The Vitoria Mediterranean","https://my.matterport.com/models/UUpD33ZyYEt","Archived","Vitoria 0H0, Sienna Plant. - Village of Sawmill Lake 3728","Toll Brothers","","9810 Maroon Peak, Missouri City, TX, 77459, US","Not Public","Not Deleted","2016-02-15","9603","5833","3376"
"The Jasper Mediterranean","https://my.matterport.com/models/uX6399gBa3G","Model Homes","Jasper 3DW, Madison at Parkside 3921","Toll Brothers","","45 Zion Drive, Lake Forest, CA, 92630, US","Public","Not Deleted","2017-03-31","5549","3780","2313"
"The Williamson Versailles","https://my.matterport.com/models/UXTUG411AWd","QMI - Staged Homes","Williamson 3P7, Somerset Green 3571","Toll Brothers","","861 Dunleigh Meadows Lane, Houston, TX, 77055, US","Public","Not Deleted","2020-03-25","9457","4109","2753"
"The Farmington Federal","https://my.matterport.com/models/uYoe52gS2FM","Archived","Farmington 24Z, Regency at Trotters Pointe 3493","Toll Brothers","","3 Pebble Creek Court, Tinton Falls, NJ, 07724, US","Not Public","Not Deleted","2015-05-30","5553","3412","1862"
"The Crestview Farmhouse","https://my.matterport.com/models/uYRdrV97Fvv","Model Homes","Crestview 4H5, Toll Brothers at Shearwater - Ambassador 4506","Toll Brothers","","119 Bowery Avenue, Saint Augustine, FL, 32092, US","Public","Not Deleted","2019-10-31","22328","12414","7021"
"The Blanchard with Loft","https://my.matterport.com/models/Uyzp7p5xk5e","QMI - Unstaged Homes","Blanchard 2QN, Canterbury Park 3277","Toll Brothers","","24200 NE 14th Street, Sammamish, WA, 98074, US","Public","Not Deleted","2020-03-26","9433","5973","3630"
"The Duke Greensboro","https://my.matterport.com/models/Uzm8YQm36wf","Model Homes","Duke 718, Parkview at Warrington 3347","Toll Brothers","","3001 Magdalene Drive, Chalfont, PA, 18914, US","Public","Not Deleted","2018-07-06","510323","321328","159194"
"The Bellwynn Transitional","https://my.matterport.com/models/UZMBj5XaT35","Model Homes","Bellwynn 559, Montgomery Farm Estates 4072","Toll Brothers","","1156 Monica Drive, Allen, TX, 75013, US","Public","Not Deleted","2018-07-27","180790","105452","57400"
"The Enatai","https://my.matterport.com/models/V14nUeR32mc","Archived","Eugene 5DY, Toll Brothers at Thompson Woods 4489","Toll Brothers","","12236 NW Fernleaf Lane, Portland, OR, 97229, US","Not Public","Not Deleted","2020-04-01","1149","701","455"
"The Delanie Heritage","https://my.matterport.com/models/VAr2jKDNmDy","Model Homes","Delanie 4C7, Loudoun Valley - The Carlisle 2393","Toll Brothers","","43020 Vernon Ridge Terrace, Ashburn, VA, 20148, US","Public","Not Deleted","2018-09-07","45644","30974","15829"
"The Montecino Spanish Colonial","https://my.matterport.com/models/vchumm88MXu","Archived","Montecina 34K, Toll Bros. at Robert. Ran. - The Vistas 3663","Toll Brothers","","2491 Wellspring Street, Carlsbad, CA, 92010, US","Not Public","Not Deleted","2016-05-18","10121","7414","3887"
"The Serrano Spanish Colonial","https://my.matterport.com/models/VCQXDq14Wtb","Archived","Serrano 3BU, Toll Brothers at Rob. Ranch - The Bluffs 3665","Toll Brothers","","2535 Glasgow Drive, Carlsbad, CA, 92010, US","Not Public","Not Deleted","2016-10-15","18910","13269","6697"
"Residence 14E","https://my.matterport.com/models/VgLmbSnNvZf","Archived","91 Leonard 4323","Toll Brothers City Living","","91 Leonard St, New York, NY, 10013, US","Not Public","Not Deleted","2020-04-02","7212","3645","2480"
"The Triana Farmhouse","https://my.matterport.com/models/VHG5BFbTCxA","Model Homes","Triana 4D5, Legacy at Seville 3948","Toll Brothers","","3875 East Alameda Lane, Gilbert, AZ, 85298, US","Public","Not Deleted","2018-08-21","80410","50954","26692"
"The Tacoma Craftsman","https://my.matterport.com/models/vitySRiiCxp","Archived","Tacoma 1TF, Parkhurst 3266","Toll Brothers","","19407 109th Court NE, Bothell, WA, 98011, US","Not Public","Not Deleted","2016-10-05","10","5","4"
"The Newcastle Mediterranean","https://my.matterport.com/models/VkSWKc663hQ","Model Homes","Newcastle 36N, Southlake Glen 3870","Toll Brothers","","909 Glen Lake Drive, Southlake, TX, 76092, US","Public","Not Deleted","2017-11-08","208077","128388","69414"
"The Bethesda Georgetown","https://my.matterport.com/models/vLHFw7B45x6","Archived","Bethesda 067, Ravenscliff at Media - Townhomes 3475","Toll Brothers","","303 Corvus Circle, Media, PA, 19063, US","Not Public","Not Deleted","2015-07-17","29518","16420","11046"
"The Adalyn Renaissance","https://my.matterport.com/models/VLtqTwxicCv","Model Homes","Adalyn 2GV (San Augustine),  NorthGrove - Executive 3482","Toll Brothers","","8554 Burdekin Road, Magnolia, TX, 77354, US","Public","Not Deleted","2016-03-14","166214","99426","61593"
